2005,1,21
2005,2,10
2005,3,8
2005,4,6
2005,5,8
2005,6,12
2005,7,12
2005,8,7
2005,9,14
2005,10,9
2005,11,8
2005,12,8
2006,1, 8
2006,2, 7
2006,3, 30
2006,4, 15
2006,5,  6
2006,6, 16
2006,7,40
2006,8, 17
2006,9,12
2006,10,23
2006,11,20
2006,12,14
2007,1,15
2007,2,13
2007,3,80
2007,4,19
2007,5,23
2007,6,4
2007,7,18
2007,8,25
2007,9,14
2007,10,30
2007,11,19
2007,12,11
2008,1,23
2008,2,36
2008,3,37
2008,4,17
2008,5,20
2008,6,10
2008,7,17
2008,8,10
2008,9,17
2008,10,11
2008,11,21
2008,12,0
