2007,1,0
2007,2,0
2007,3,19
2007,4,25
2007,5,0
2007,6,23
2007,7,20
2007,8,20
2007,9,16
2007,10,22
2007,11,20
2007,12,15
2008,1,0
2008,2,20
2008,3,23
2008,4,24
2008,5,25
2008,6,20
2008,7,0
2008,8,13
2008,9,17
2008,10,11
2008,11,35
2008,12,0
2009,1,18
2009,2,0
2009,3,12
2009,4,13
2009,5,0
2009,6,18
2009,7,30
2009,8,14
2009,9,14
2009,10,16
2009,11,35
2009,12,16
2010,1,16
2010,2,16
2010,3,30
2010,4,12
2010,5,11
2010,6,11
2010,7,40
2010,8,17
2010,9,17
2010,10,12
2010,11,33
2010,12,16
2011,1,10
2011,2,15
2011,3,17
2011,4,25
2011,5,20
2011,6,17
2011,7,17
2011,8,20
2011,9,11
2011,10,11
2011,11,23
2011,12,14
2012,1,7
2012,2,14
2012,3,12
2012,4,12
2012,5,13
2012,6,0
2012,7,10
2012,8,28
2012,8,16
2012,9,8
2012,10,14
2012,11,34
2012,12,11
